Portfolio,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Quantity,Market Value
Fund Two,TSLA,11/23/2020,503.5,598.780029,501.790009,585.76001,585.76001,190400100,2377.386273,1392577.807
Fund Two,XOM,11/23/2020,37.5,42.080002,37.279999,40.189999,40.189999,119497000,29980.28347,1204907.563
Fund Two,AMZN,11/30/2020,3208.47998,3248.949951,3125.550049,3162.580078,3162.580078,17543200,312.0709121,986949.2494
Fund Two,FB,11/30/2020,276.029999,291.779999,271.01001,279.700012,279.700012,78634800,3511.359136,982127.1925
Fund Two,GOOG,11/30/2020,1781.18396,1847.199951,1755,1827.98999,1827.98999,7390300,609.3845216,1113948.806
Fund Two,JNJ,11/30/2020,144.229996,150.309998,143.059998,150.270004,150.270004,47207600,6932.998641,1041821.734
Fund Two,MRK,11/30/2020,80,82.739998,79.410004,81.940002,81.297997,45392700,12625.54064,1026431.165
Fund Two,NFLX,11/30/2020,490.079987,509.470001,481.269989,498.309998,498.309998,18114800,2048.005247,1020541.491
Fund Two,PFE,11/30/2020,37.950001,41.41,37.599998,40.34,40.34,326372400,27889.98305,1125081.916
Fund Two,PG,11/30/2020,138,139.940002,135.539993,137.470001,136.645782,41132800,7105.054548,970875.7348
Fund Two,TSLA,11/30/2020,602.210022,607.799988,541.210022,599.039978,599.039978,223114900,2377.386273,1424149.421
Fund Two,XOM,11/30/2020,39.799999,41.759998,37.970001,41.68,41.68,163249400,29980.28347,1249578.215
Fund Two,AMZN,12/7/2020,3156.47998,3184.129883,3072.820068,3116.419922,3116.419922,16233300,312.0709121,972544.0074
Fund Two,FB,12/7/2020,279.190002,288.48999,270.25,273.549988,273.549988,83401600,3511.359136,960532.2496
Fund Two,GOOG,12/7/2020,1819,1834.27002,1740.319946,1781.77002,1781.77002,6508300,609.3845216,1085783.071
Fund Two,JNJ,12/7/2020,149.350006,153.5,148.509995,152.949997,152.949997,36784900,6932.998641,1060402.121
Fund Two,MRK,12/7/2020,82.059998,83.940002,82.050003,82.959999,82.309998,38159200,12625.54064,1039208.225
Fund Two,NFLX,12/7/2020,500.01001,521.48999,491.290009,503.220001,503.220001,18926200,2048.005247,1030597.202
Fund Two,PFE,12/7/2020,40.66,43.080002,40.369999,41.119999,41.119999,339897700,27889.98305,1146836.075
Fund Two,PG,12/7/2020,136.610001,138.779999,134.199997,136.509995,135.691528,33533400,7105.054548,964095.7081
Fund Two,TSLA,12/7/2020,604.919983,654.320007,566.340027,609.98999,609.98999,305424100,2377.386273,1450181.829
Fund Two,XOM,12/7/2020,41.419998,44.470001,40.439999,43.799999,43.799999,158835500,29980.28347,1313136.386
Fund Two,AMZN,12/14/2020,3143,3263.51001,3126,3201.649902,3201.649902,21377100,312.0709121,999141.805
Fund Two,FB,12/14/2020,273.369995,280.440002,267.470001,276.399994,276.399994,99312400,3511.359136,970539.6442
Fund Two,GOOG,12/14/2020,1775,1797.390015,1720.219971,1731.01001,1731.01001,10237100,609.3845216,1054850.707
Fund Two,JNJ,12/14/2020,153.25,155.100006,148.990005,154.509995,154.509995,51705600,6932.998641,1071217.585
Fund Two,MRK,12/14/2020,82.629997,83.080002,78.449997,79.529999,78.906876,74033900,12625.54064,996241.97
Fund Two,NFLX,12/14/2020,505.440002,536.369995,501.179993,534.450012,534.450012,20547100,2048.005247,1094556.429
Fund Two,PFE,12/14/2020,41.619999,41.66,37.310001,37.68,37.68,329623900,27889.98305,1050894.561
Fund Two,PG,12/14/2020,137.020004,140.070007,135.770004,139.039993,138.20636,44660100,7105.054548,981963.7267
Fund Two,TSLA,12/14/2020,619,695,605,695,695,417756300,2377.386273,1652283.46
Fund Two,XOM,12/14/2020,44.34,44.459999,42.060001,42.73,42.73,159909100,29980.28347,1281057.513
Fund Two,AMZN,12/21/2020,3200.01001,3226.969971,3166,3172.689941,3172.689941,9751900,312.0709121,990104.2435
Fund Two,FB,12/21/2020,272.980011,274.670013,264.630005,267.399994,267.399994,54897600,3511.359136,938937.412
Fund Two,GOOG,12/21/2020,1713.51001,1747.98999,1699,1738.849976,1738.849976,4145700,609.3845216,1059628.261
Fund Two,JNJ,12/21/2020,152.009995,153.899994,150.050003,152.470001,152.470001,19315100,6932.998641,1057074.31
Fund Two,MRK,12/21/2020,78.800003,80.43,77.739998,80.139999,80.139999,27869000,12625.54064,1011810.815
